Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2321,2548,1749,13,54,319,513,10
Regression,2538,2115,1770,13,59,321,484,10
Regression,2962,2268,1665,13,52,287,327,10
Success,2240,1944,1698,13,50,289,518,10
Invalid,3869,4506,1615,13,52,287,2589,10
Success,2176,2137,1744,13,50,291,523,10
Success,2128,2043,1773,13,59,319,521,10
Invalid,2405,2025,1778,13,52,285,481,10
Success,2165,2119,1697,13,58,316,358,10
Success,2228,2499,1701,13,50,333,469,10
Regression,3729,4789,1656,13,52,291,2351,10
Success,2479,2183,2031,13,59,319,490,10
Success,2214,1701,1890,13,0,0,0,11
Invalid,2081,2162,1668,13,50,287,527,10
Invalid,2178,2178,1781,13,51,289,514,10
Success,2322,2601,1633,13,59,321,477,10
Regression,2611,2534,1897,13,54,290,507,10
Success,2135,2042,1795,13,59,321,518,10
Invalid,2330,2328,1747,13,52,293,501,10
Regression,2645,2329,1672,13,52,289,375,10
Regression,3051,2444,2104,13,59,317,481,10
Success,2100,2082,1708,13,58,320,349,10
Success,2143,2164,1557,13,52,285,526,10
Success,2360,2432,1707,13,50,325,489,10
Invalid,1975,1810,1110,9,32,154,282,6
Success,2225,2327,1655,13,50,287,583,10
Success,2444,2155,1605,14,52,289,304,10
Success,2206,2316,1683,13,50,329,481,10
Success,2247,2098,1938,13,0,0,0,11
Success,2265,2288,1763,13,50,287,558,10
Regression,2759,2200,1647,13,52,285,308,10
Invalid,1891,1757,1009,9,32,156,280,6
Success,2116,2189,1703,13,50,331,486,10
Invalid,1897,1764,1283,9,32,156,285,6
Success,2421,2365,1798,13,54,319,474,10
Success,2227,2869,2169,13,59,320,279,10
Success,2387,2489,2894,13,62,323,495,10
Success,2131,2066,1623,13,50,289,519,10
Invalid,2569,2424,1933,13,59,315,498,10
Success,2336,2681,1674,13,59,325,473,10
Invalid,3221,3405,1712,13,52,291,1449,10
Success,2419,2182,1768,13,59,321,475,10
Invalid,2338,2528,1721,13,52,291,528,10
Success,2294,2481,1667,13,54,290,495,10
Invalid,1678,2051,1385,12,49,285,368,10
Success,2336,2205,1907,13,59,319,516,10
Regression,3003,2463,2048,13,50,289,563,10
Success,2039,2529,1651,13,50,400,552,10
Success,2428,2090,1733,13,59,323,512,10
Invalid,3409,3855,1658,14,52,289,1901,10
Invalid,2189,2168,1578,13,50,329,478,10
Invalid,2198,2047,1657,13,51,291,529,10
Success,2362,2327,1941,13,50,293,580,10
Success,2122,2279,1739,13,59,321,523,10
Success,2239,2427,1663,13,50,285,591,10
Success,2088,2387,1630,13,50,293,581,10
Invalid,2592,2752,1585,14,52,291,754,10
Success,2347,2510,1683,13,50,331,478,10
Invalid,1846,1696,1323,9,32,154,296,6
Success,2309,2056,1850,13,59,317,520,10
Invalid,2305,2745,1688,13,50,325,488,10
Invalid,2284,2427,1677,13,59,320,557,10
Success,2299,2470,1598,13,52,287,513,10
Regression,2928,2541,1617,13,52,289,602,10
Invalid,3234,2443,2386,13,57,290,434,11
Invalid,1042,1093,803,6,30,149,249,6
Success,2199,2509,1707,13,50,293,596,10
Invalid,2443,2251,1792,13,54,288,473,10
Success,2464,2233,1993,13,59,315,473,10
Regression,2509,2104,1728,13,59,319,470,10
Invalid,3984,4525,1662,13,52,287,2496,10
